event_id,admission_tier,trigger_type,path
garantex-besciokov-mira-serda-doj-2025,anchor_case,doj_indictment,events/garantex-besciokov-mira-serda-doj-2025.yaml
dydx-tornado-account-block-2022-08,anchor_case,corporate_policy_change,events/dydx-tornado-account-block-2022-08.yaml
tornado-cash-ofac-2022,anchor_case,ofac_sdn_designation,events/tornado-cash-ofac-2022.yaml
cryptex-ofac-2024,anchor_case,ofac_sdn_designation,events/cryptex-ofac-2024.yaml
samourai-doj-2024,empirical_case,doj_indictment,events/samourai-doj-2024.yaml
argentina-bcra-banks-crypto-services-ban-2022-05,empirical_case,nation_state_block,events/argentina-bcra-banks-crypto-services-ban-2022-05.yaml
ofac-hamas-buy-cash-msb-2023-10,empirical_case,ofac_sdn_designation,events/ofac-hamas-buy-cash-msb-2023-10.yaml
sec-kik-interactive-kin-unregistered-offering-2020-10,empirical_case,sec_action,events/sec-kik-interactive-kin-unregistered-offering-2020-10.yaml
hydra-ofac-2022,empirical_case,ofac_sdn_designation,events/hydra-ofac-2022.yaml
canada-convoy-freeze-2022,empirical_case,nation_state_block,events/canada-convoy-freeze-2022.yaml
aeza-group-ofac-2025,empirical_case,ofac_sdn_designation,events/aeza-group-ofac-2025.yaml
taiwan-fsc-bitcoin-bank-atm-ban-2014-01,empirical_case,nation_state_block,events/taiwan-fsc-bitcoin-bank-atm-ban-2014-01.yaml
sec-abra-plutus-earn-cease-2024-08,empirical_case,sec_action,events/sec-abra-plutus-earn-cease-2024-08.yaml
nepal-nrb-bitcoin-ban-2017-08,empirical_case,regulatory_enforcement,events/nepal-nrb-bitcoin-ban-2017-08.yaml
nepal-nrb-comprehensive-crypto-ban-2021-09,empirical_case,regulatory_enforcement,events/nepal-nrb-comprehensive-crypto-ban-2021-09.yaml
sec-v-coinbase-2023,empirical_case,sec_action,events/sec-v-coinbase-2023.yaml
okx-privacy-token-delist-2024,empirical_case,corporate_policy_change,events/okx-privacy-token-delist-2024.yaml
etherscan-tornado-cash-ui-label-2022,empirical_case,corporate_policy_change,events/etherscan-tornado-cash-ui-label-2022.yaml
australia-asic-binance-derivatives-2023,empirical_case,nation_state_block,events/australia-asic-binance-derivatives-2023.yaml
bybit-canada-exit-2023-05,empirical_case,corporate_policy_change,events/bybit-canada-exit-2023-05.yaml
hongkong-sfc-vatp-licensing-2023-06,empirical_case,nation_state_block,events/hongkong-sfc-vatp-licensing-2023-06.yaml
wikileaks-everydns-domain-termination-2010-12,empirical_case,corporate_policy_change,events/wikileaks-everydns-domain-termination-2010-12.yaml
singapore-mas-retail-crypto-restriction-2022,empirical_case,regulatory_enforcement,events/singapore-mas-retail-crypto-restriction-2022.yaml
tradehill-dwolla-payment-cutoff-2012-02,empirical_case,corporate_policy_change,events/tradehill-dwolla-payment-cutoff-2012-02.yaml
gemini-netherlands-exit-2023-11,empirical_case,corporate_policy_change,events/gemini-netherlands-exit-2023-11.yaml
eu-8th-package-russia-crypto-services-ban-2022-10,empirical_case,supranational_regulation,events/eu-8th-package-russia-crypto-services-ban-2022-10.yaml
bybit-singapore-exit-2022,empirical_case,corporate_policy_change,events/bybit-singapore-exit-2022.yaml
dydx-canada-frontend-wind-down-2023-04,empirical_case,corporate_policy_change,events/dydx-canada-frontend-wind-down-2023-04.yaml
sec-v-telegram-ton-2020,empirical_case,sec_action,events/sec-v-telegram-ton-2020.yaml
tether-pig-butchering-second-wave-2024,empirical_case,corporate_policy_change,events/tether-pig-butchering-second-wave-2024.yaml
tether-retroactive-sweep-2023,empirical_case,corporate_policy_change,events/tether-retroactive-sweep-2023.yaml
tether-doj-pig-butchering-freeze-2023,empirical_case,corporate_policy_change,events/tether-doj-pig-butchering-freeze-2023.yaml
belgium-fsma-binance-cease-2023,empirical_case,nation_state_block,events/belgium-fsma-binance-cease-2023.yaml
israel-nbctf-hamas-crypto-addresses-2021,empirical_case,regulatory_enforcement,events/israel-nbctf-hamas-crypto-addresses-2021.yaml
russian-cyber-theft-ofac-2020,empirical_case,ofac_sdn_designation,events/russian-cyber-theft-ofac-2020.yaml
blockfi-sec-lending-2022,empirical_case,sec_action,events/blockfi-sec-lending-2022.yaml
coinbase-irs-john-doe-summons-2016,empirical_case,court_civil_order,events/coinbase-irs-john-doe-summons-2016.yaml
sec-consensys-metamask-staking-swaps-2024-06,empirical_case,sec_action,events/sec-consensys-metamask-staking-swaps-2024-06.yaml
google-play-india-crypto-exchange-removal-2024-01,empirical_case,corporate_policy_change,events/google-play-india-crypto-exchange-removal-2024-01.yaml
bcbs-cryptoasset-prudential-standard-sco60-2022,empirical_case,supranational_regulation,events/bcbs-cryptoasset-prudential-standard-sco60-2022.yaml
pump-fun-uk-fca-geofence-2024-12,empirical_case,corporate_policy_change,events/pump-fun-uk-fca-geofence-2024-12.yaml
egypt-cbe-banking-law-194-2020,empirical_case,nation_state_block,events/egypt-cbe-banking-law-194-2020.yaml
upbit-privacy-coin-delisting-2019-09,empirical_case,corporate_policy_change,events/upbit-privacy-coin-delisting-2019-09.yaml
eu-12th-russia-sanctions-2023,empirical_case,non_us_sanctions,events/eu-12th-russia-sanctions-2023.yaml
eu-russia-crypto-wallet-cap-2022,empirical_case,non_us_sanctions,events/eu-russia-crypto-wallet-cap-2022.yaml
etoro-us-ada-trx-delisting-2021-12,empirical_case,corporate_policy_change,events/etoro-us-ada-trx-delisting-2021-12.yaml
chatex-ofac-2021,empirical_case,ofac_sdn_designation,events/chatex-ofac-2021.yaml
morocco-office-des-changes-crypto-ban-2017-11,empirical_case,regulatory_enforcement,events/morocco-office-des-changes-crypto-ban-2017-11.yaml
sec-nexo-earn-lending-product-cease-2023-01,empirical_case,sec_action,events/sec-nexo-earn-lending-product-cease-2023-01.yaml
fincen-eric-powers-p2p-exchanger-2019-04,empirical_case,fincen_action,events/fincen-eric-powers-p2p-exchanger-2019-04.yaml
paxos-busd-nydfs-minting-stop-2023,empirical_case,corporate_policy_change,events/paxos-busd-nydfs-minting-stop-2023.yaml
thailand-sec-meme-fan-nft-exchange-token-ban-2021-06,empirical_case,regulatory_enforcement,events/thailand-sec-meme-fan-nft-exchange-token-ban-2021-06.yaml
