event_id,provider_id,provider_name,surface_type,public_endpoint,public_replay_possible,docs_bracketed,git_filter_file,event_specific_artifact,artifact_ref,denominator_class,rate_eligible,denominator_reason
tornado-cash-ofac-2022,alchemy,Alchemy,provider_docs_tos_status,https://eth-mainnet.g.alchemy.com,requires_api_key,false,false,false,docs/data-sources.md,observability_gap,false,"Provider is in the future measurement frame, but v0.1 has no archived event-window probe or target-specific provider artifact."
tornado-cash-ofac-2022,flashbots_rpc_endpoint,Flashbots RPC endpoint / Protect,public_git_filter_file,https://rpc.flashbots.net,partial_git_history,true,true,true,analysis/operator_census/README.md,named_partial_only_no_conditional_rate,false,"Target-specific public-git substrate exists, but v0.1 does not enumerate and probe the public RPC provider universe."
tornado-cash-ofac-2022,infura,Infura,provider_docs_tos_status,https://mainnet.infura.io,requires_api_key,false,false,false,docs/data-sources.md,observability_gap,false,"Provider is in the future measurement frame, but v0.1 has no archived event-window probe or target-specific provider artifact."
tornado-cash-ofac-2022,mev_blocker,MEV Blocker,archived_public_docs,https://rpc.mevblocker.io,docs_only,true,false,false,sources/http_captures/_shared/l3-rpc-filter-list/manifest.json,observability_gap,false,"Archived documentation establishes a public RPC-like substrate, but no event-specific rejection, filter-list diff, or before/after probe set exists in v0.1."
tornado-cash-ofac-2022,public_rpc_long_tail,Ankr / Chainstack / Pocket / GetBlock / BlastAPI class,listed_future_provider_class,multiple,mixed_public_private,false,false,false,docs/data-sources.md,observability_gap,false,"Provider class is named in the future frame, but v0.1 has no endpoint-level event-window probe universe."
tornado-cash-ofac-2022,quicknode,QuickNode,provider_docs_tos_status,https://docs.quicknode.com,requires_account,false,false,false,docs/data-sources.md,observability_gap,false,"Provider is in the future measurement frame, but v0.1 has no archived event-window probe or target-specific provider artifact."
tornado-cash-ofac-delisting-2025,alchemy,Alchemy,provider_docs_tos_status,https://eth-mainnet.g.alchemy.com,requires_api_key,false,false,false,docs/data-sources.md,observability_gap,false,"Provider is in the future measurement frame, but v0.1 has no archived event-window probe or target-specific provider artifact."
tornado-cash-ofac-delisting-2025,flashbots_rpc_endpoint,Flashbots RPC endpoint / Protect,public_git_filter_file,https://rpc.flashbots.net,partial_git_history,true,true,true,analysis/operator_census/README.md,named_partial_only_no_conditional_rate,false,"Target-specific public-git deletion exists, but v0.1 does not enumerate and probe the public RPC provider universe."
tornado-cash-ofac-delisting-2025,infura,Infura,provider_docs_tos_status,https://mainnet.infura.io,requires_api_key,false,false,false,docs/data-sources.md,observability_gap,false,"Provider is in the future measurement frame, but v0.1 has no archived event-window probe or target-specific provider artifact."
tornado-cash-ofac-delisting-2025,mev_blocker,MEV Blocker,archived_public_docs,https://rpc.mevblocker.io,docs_only,true,false,false,sources/http_captures/_shared/l3-rpc-filter-list/manifest.json,observability_gap,false,"Archived documentation establishes a public RPC-like substrate, but no event-specific rejection, filter-list diff, or before/after probe set exists in v0.1."
tornado-cash-ofac-delisting-2025,public_rpc_long_tail,Ankr / Chainstack / Pocket / GetBlock / BlastAPI class,listed_future_provider_class,multiple,mixed_public_private,false,false,false,docs/data-sources.md,observability_gap,false,"Provider class is named in the future frame, but v0.1 has no endpoint-level event-window probe universe."
tornado-cash-ofac-delisting-2025,quicknode,QuickNode,provider_docs_tos_status,https://docs.quicknode.com,requires_account,false,false,false,docs/data-sources.md,observability_gap,false,"Provider is in the future measurement frame, but v0.1 has no archived event-window probe or target-specific provider artifact."
