id	year	stratum	status
ebullion-doj-fbi-seizure-2008-08	2008	S3_doj_sec_cftc_fiod	admitted
egold-doj-guilty-plea-2008-07	2008	S3_doj_sec_cftc_fiod	admitted
pecunix-bullion-transfer-2008	2008	S5_corporate	admitted
wikileaks-wau-holland-tax-status-challenge-2010-12	2010	S4_nation_state	admitted
wikileaks-amazon-aws-eviction-2010-12	2010	S5_corporate	admitted
wikileaks-bank-of-america-block-2010-12	2010	S5_corporate	admitted
wikileaks-everydns-domain-termination-2010-12	2010	S5_corporate	admitted
wikileaks-mastercard-suspension-2010-12	2010	S5_corporate	admitted
wikileaks-paypal-freeze-2010-12	2010	S5_corporate	admitted
wikileaks-postfinance-account-closure-2010-12	2010	S5_corporate	admitted
wikileaks-visa-europe-suspension-2010-12	2010	S5_corporate	admitted
wikileaks-western-union-interdiction-2010-12	2010	S5_corporate	admitted
liberty-reserve-costa-rica-license-denial-2011-03	2011	S4_nation_state	admitted
mtgox-june-2011-hack-trading-suspension	2011	S5_corporate	admitted
datacell-v-valitor-iceland-district-court-2012-07	2012	S3_doj_sec_cftc_fiod	admitted
fbi-bitcoin-intelligence-assessment-2012-04	2012	S3_doj_sec_cftc_fiod	rejected
bitcoinica-shutdown-2012-05	2012	S5_corporate	admitted
mtgox-mizuho-wire-pressure-2012	2012	S5_corporate	admitted
fincen-virtual-currency-msb-guidance-2013	2013	S3_doj_sec_cftc_fiod	admitted
mtgox-coinlab-civil-2013	2013	S3_doj_sec_cftc_fiod	admitted
mtgox-dhs-dwolla-wells-fargo-seizure-2013	2013	S3_doj_sec_cftc_fiod	admitted
sec-shavers-btcst-2013	2013	S3_doj_sec_cftc_fiod	admitted
silk-road-doj-seizure-2013	2013	S3_doj_sec_cftc_fiod	admitted
china-pboc-crypto-ban-2013-12	2013	S4_nation_state	admitted
thailand-bot-bitcoin-prohibition-2013	2013	S4_nation_state	admitted
mtgox-usd-withdrawal-suspension-2013-06	2013	S5_corporate	admitted
